datum,ndvi,loc
20190121,0.330143541097641,1
20190227,0.29655173420906067,1
20190322,0.27882134914398193,1
20190329,0.29958391189575195,1
20190401,0.2925764322280884,1
20190408,0.2804878056049347,1
20190418,0.27729979157447815,1
20190421,0.2935718894004822,1
20190518,0.3177664875984192,1
20190617,0.4527845084667206,1
20190627,0.575578510761261,1
20190630,0.5714638233184814,1
20190720,0.021960364654660225,1
20190730,0.7817807793617249,1
20190826,0.7811210751533508,1
20190915,0.7551355957984924,1
20190918,0.3337389826774597,1
20191214,0.7110552787780762,1
20190215,0.290140837430954,1
20190416,0.3036491572856903,1
20190513,0.28473520278930664,1
20190722,0.7940546870231628,1
20190725,0.6913580298423767,1
20190824,0.7985936999320984,1
20191013,0.6246334314346313,1
20191102,0.7656359076499939,1
20191119,0.8029143214225769,1
20191122,0.7757009267807007,1
20191202,0.7251908183097839,1
20191212,0.06498398631811142,1
20190121,0.4763284921646118,2
20190227,0.32469063997268677,2
20190322,0.36637169122695923,2
20190329,0.38127854466438293,2
20190401,0.3929731249809265,2
20190408,0.39644351601600647,2
20190418,0.4676414728164673,2
20190421,0.48474764823913574,2
20190518,0.5544320940971375,2
20190617,0.7071338891983032,2
20190627,0.6528925895690918,2
20190630,0.60426265001297,2
20190720,-0.010800332762300968,2
20190730,0.3783887028694153,2
20190826,0.5726045370101929,2
20190915,0.6596125364303589,2
20190918,0.41588959097862244,2
20191214,0.7305936217308044,2
20190215,0.3777637481689453,2
20190416,0.45412445068359375,2
20190513,0.6246864199638367,2
20190722,0.4994864761829376,2
20190725,0.4516565203666687,2
20190824,0.6264367699623108,2
20191013,0.5997809767723083,2
20191102,0.7659940123558044,2
20191119,0.7876186370849609,2
20191122,0.7631444334983826,2
20191202,0.7281008958816528,2
20191212,0.05263157933950424,2
